id,statement,statement_clean,label,label_3class,label_encoded,speaker,party,subject,credibility_score,lie_rate,history_total,is_politician
7115.json,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",first time history share national popular vote margin smaller than latino vote margin,mostly-true,real,2,robert-menendez,democrat,elections,0.5,0.375,8.0,1
4148.json,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",since nearly million americans slipped out middle class into poverty,half-true,nuanced,1,bernie-s,independent,"economy,jobs,new-hampshire-2012,poverty",0.6774,0.129,93.0,0
5947.json,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",when mitt romney governor massachusetts didnt just slow rate growth government actually cut,false,fake,0,mitt-romney,republican,"history,state-budget",0.517,0.2898,176.0,1
8616.json,The economy bled $24 billion due to the government shutdown.,economy bled billion due government shutdown,mostly-true,real,2,doonesbury,none,"economy,federal-budget,health-care",1.0,0.0,6.0,0
8705.json,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,most affordable care act already some sense waived otherwise suspended,barely-true,nuanced,1,george-will,columnist,health-care,0.3636,0.3182,22.0,0
10683.json,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",last election november percent american people chose not vote percent young people percent low income workers chose not vote,half-true,nuanced,1,bernie-s,independent,elections,0.6774,0.129,93.0,0
620.json,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,mccain opposed requirement government buy american made motorcycles all buy american provisions quote 'disgraceful,true,real,2,barack-obama,democrat,federal-budget,0.6829,0.1691,473.0,1
3863.json,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",rep ron kind wis fellow democrats went spending spree now credit card maxed out,barely-true,nuanced,1,national-republican-congressional-committee,republican,federal-budget,0.2708,0.3542,48.0,1
12372.json,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",water rates manila philippines raised percent when subsidiary world bank became partial owner,half-true,nuanced,1,gwen-moore,democrat,"financial-regulation,foreign-policy,water",0.4667,0.3333,15.0,1
12385.json,"Almost 100,000 people left Puerto Rico last year.",almost people left puerto rico last year,mostly-true,real,2,jack-lew,democrat,"bankruptcy,economy,population",0.5,0.5,2.0,1
10173.json,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,women men both making less when adjust inflation than when john kitzhaber first elected governor,false,fake,0,dennis-richardson,republican,"economy,income",0.4286,0.5714,7.0,1
9867.json,The United States has the highest corporate tax rate in the free world.,united states highest corporate tax rate free world,mostly-true,real,2,eric-bolling,none,"corporations,taxes",0.4,0.2,5.0,0
12408.json,We just had the best year for the auto industry in America in history.,just best year auto industry america history,mostly-true,real,2,hillary-clinton,democrat,economy,0.6561,0.1629,221.0,1
2673.json,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",scott walker favors cutting families children off health care,half-true,nuanced,1,greater-wisconsin-political-fund,none,"health-care,message-machine",0.3636,0.3636,11.0,0
7057.json,Says Mitt Romney wants to get rid of Planned Parenthood.,mitt romney wants get rid planned parenthood,barely-true,nuanced,1,planned-parenthood-action-fund,none,"abortion,federal-budget,health-care",0.0,0.0,1.0,0
10215.json,I dont know who (Jonathan Gruber) is.,dont know who jonathan gruber,false,fake,0,nancy-pelosi,democrat,health-care,0.5,0.3846,26.0,1
12517.json,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,hate crimes against american muslims mosques tripled after paris san bernardino,mostly-true,real,2,hillary-clinton,democrat,"crime,diversity,homeland-security,terrorism",0.6561,0.1629,221.0,1
3910.json,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,rick perry never lost election remains only person won texas governorship three times landslide elections,half-true,nuanced,1,ted-nugent,republican,candidates-biography,0.5,0.5,4.0,1
11092.json,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",isis supporter tweeted shooting began chattanooga tenn,false,fake,0,pamela-geller,activist,"technology,terrorism",0.5,0.5,2.0,0
12163.json,Youth unemployment in minority communities is about 40 to 45 percent.,youth unemployment minority communities about percent,mostly-true,real,2,peter-kinder,republican,"diversity,economy,jobs",0.5,0.5,2.0,1
13237.json,Says Paul Ryan is still endorsing Trump.,paul ryan still endorsing trump,true,real,2,hillary-clinton,democrat,"candidates-biography,elections,campaign-advertising",0.6561,0.1629,221.0,1
5383.json,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",look states right work constantly not budget deficits very good business climates,barely-true,nuanced,1,nicholas-kettle,republican,"economy,labor,states,unions,workers",0.0,0.0,1.0,1
9727.json,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,what obama administration going come out next several months youre not even going able burn coal very limitedly existing plants,false,fake,0,shelley-moore-capito,republican,"climate-change,energy,environment,government-regulation",0.0,0.5,2.0,1
8239.json,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,cut business taxes today percent businesses dont pay business tax,mostly-true,real,2,rick-scott,republican,"small-business,taxes",0.5538,0.2308,130.0,1
10121.json,Says Mark Pryor votes with Obama 93 percent of the time.,mark pryor votes obama percent time,mostly-true,real,2,tom-cotton,republican,"bipartisanship,voting-record",0.3846,0.3846,13.0,1
7550.json,We have a federal government that thinks they have the authority to regulate our toilet seats.,federal government thinks authority regulate toilet seats,true,real,2,ted-cruz,republican,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",0.3063,0.3694,111.0,1
9018.json,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,austin city basically doubled size every years since founded,true,real,2,lee-leffingwell,democrat,"city-government,population",0.8333,0.0,6.0,1
1038.json,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",nuclear test conducted nation time earth's nuclear test five permanent members security council conducted percent total nuclear tests,true,real,2,north-korea,none,military,0.0,0.0,0.0,0
2940.json,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",case catastrophic event atlanta area offices centers disease control prevention self destruct,pants-fire,fake,0,walking-dead,none,"health-care,pop-culture",0.0,1.0,1.0,0
8492.json,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",under president george bush added trillion debt under president obama weve added trillion debt,true,real,2,kelly-ayotte,republican,debt,0.625,0.125,8.0,1
5352.json,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,supreme court justice suggested some cases decided based south african law,false,fake,0,marco-rubio,republican,"legal-issues,supreme-court",0.5194,0.2248,129.0,1
12027.json,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,marco rubio skipped defense votes including one arm kurds fight isis,half-true,nuanced,1,keep-promise-1-pac,republican,"military,voting-record",0.5,0.5,2.0,1
5210.json,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",rep david cicilline responsible federal loan guarantee solyndra failed solar company,pants-fire,fake,0,national-republican-congressional-committee,republican,"energy,stimulus",0.2708,0.3542,48.0,1
7993.json,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,ohio budget item later signed into law gov john kasich requires women seeking abortion undergo mandatory vaginal probe,pants-fire,fake,0,rachel-maddow,none,"abortion,pundits,women",0.4348,0.3043,23.0,0
1926.json,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,director homeland security who cannot use not use term 'terrorist attack' instead substitutes 'man made disaster,false,fake,0,jerry-patterson,republican,"homeland-security,terrorism",0.6667,0.1667,6.0,1
11418.json,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,african american youth unemployment percent hispanic youth unemployment percent,half-true,nuanced,1,bernie-s,independent,"diversity,economy,jobs",0.6774,0.129,93.0,0
7990.json,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",obamacare provide insurance all non residents even here illegally,pants-fire,fake,0,chain-email,none,"health-care,immigration",0.0756,0.8605,172.0,0
3652.json,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,president barack obama took exactly none own deficit reduction commissions ideas not one,false,fake,0,john-boehner,republican,"deficit,federal-budget",0.2885,0.4615,52.0,1
12848.json,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,under barack obama hillary clinton changed rules engagement probably cost capt humayun khans life,pants-fire,fake,0,katrina-pierson,republican,"iraq,military",0.0,1.0,1.0,1
13503.json,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,hillary clinton sponsored legislation jail flag burners,true,real,2,blog-posting,none,patriotism,0.1026,0.8077,78.0,0
4930.json,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,paperback edition mitt romneys book deleted line massachusetts individual mandate model country,barely-true,nuanced,1,rick-perry,republican,"health-care,states",0.4545,0.3357,143.0,1
13210.json,"Maggie Hassan raised tuition, making it the highest in America.",maggie hassan raised tuition making highest america,barely-true,nuanced,1,national-republican-senatorial-committee,republican,education,0.3,0.3333,30.0,1
8187.json,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,terry mcauliffe person who invented scheme rent out lincoln bedroom,false,fake,0,ken-cuccinelli,republican,"campaign-finance,ethics,history",0.2941,0.6471,17.0,1
12758.json,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",created new jobs cut unemployment rate almost half today new york state more private sector jobs than ever history,true,real,2,andrew-cuomo,democrat,jobs,0.5,0.0,2.0,1
10693.json,"We have towns in West Texas that are out of water, that are having to truck in water.",towns west texas out water having truck water,barely-true,nuanced,1,sid-miller,republican,water,0.3333,0.5,6.0,1
13077.json,"In Georgia, women earn 82 cents for every dollar earned by men.",georgia women earn cents every dollar earned men,half-true,nuanced,1,jim-barksdale,democrat,"jobs,women",1.0,0.0,2.0,1
3283.json,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,federal system verifies employees authorized work inaccurate anywhere percent all way excess percent time,half-true,nuanced,1,david-raynor,none,immigration,1.0,0.0,1.0,0
12981.json,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",going build wall while ago not long ago like couldnt get environmental impact statements,barely-true,nuanced,1,donald-trump,republican,immigration,0.2699,0.5368,326.0,1
812.json,Sen. Obama's campaign announced that he's choosing his cabinet.,sen obama's campaign announced he's choosing cabinet,false,fake,0,john-mccain,republican,elections,0.4658,0.3219,146.0,1
7548.json,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",only percent latinos texas registered vote only percent actually turned out,mostly-true,real,2,battleground-texas,democrat,"elections,population",1.0,0.0,1.0,1
6000.json,Only 2 percent of public high schools in the country offer PE classes.,only percent public high schools country offer classes,false,fake,0,michelle-obama,democrat,"education,health-care",0.7143,0.2857,7.0,1
321.json,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",he's only republican candidate who's actually turned around government economy,mostly-true,real,2,rudy-giuliani,republican,job-accomplishments,0.425,0.35,40.0,1
1779.json,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",military recruiters harvard elena kagan took position supreme court ruled unanimously wrong,true,real,2,john-barrasso,republican,"education,gays-and-lesbians,kagan-nomination,military,supreme-court",0.0,0.0,1.0,1
1833.json,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",there public school teachers texas there non teachers public schools,mostly-true,real,2,empower-texans,none,"education,message-machine,taxes",0.5,0.0,2.0,0
8584.json,"Under Mayor Cicilline, [Providence] was a sanctuary city.",under mayor cicilline providence sanctuary city,false,fake,0,john-depetro,talk-show-host,"history,homeland-security,immigration,legal-issues,pundits",0.0,1.0,6.0,0
10829.json,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,transgender individuals chance being murdered,pants-fire,fake,0,garnet-coleman,democrat,"corrections-and-updates,crime,criminal-justice,sexuality",0.3333,0.3333,3.0,1
6612.json,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",bain capital helped start early childhood learning company called bright horizons first lady michelle obama rightly praised,true,real,2,mitt-romney,republican,"candidates-biography,job-accomplishments",0.517,0.2898,176.0,1
12056.json,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",man who rushed stage him dayton ohio chatter about isis isis social media posts,false,fake,0,donald-trump,republican,"civil-rights,elections,terrorism",0.2699,0.5368,326.0,1
6161.json,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,rep phil gingrey gave government power electronically spy americans without warrant,barely-true,nuanced,1,michael-opitz,republican,"criminal-justice,terrorism",0.0,0.0,1.0,1
2526.json,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,alex sink funneled three quarters million dollars bid contracts bank america,barely-true,nuanced,1,rick-scott,republican,"economy,financial-regulation,message-machine",0.5538,0.2308,130.0,1
3786.json,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",take population growth here virginia net zero job creation since bob mcdonnell became governor,true,real,2,terry-mcauliffe,democrat,jobs,0.16,0.36,25.0,1
6697.json,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",under obama home values florida collapsed construction jobs lost state high foreclosure rate,barely-true,nuanced,1,mitt-romney,republican,"housing,message-machine-2012",0.517,0.2898,176.0,1
1738.json,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",new arizona immigration law any police officer stop anyone who appears reasonably suspicious being undocumented person,mostly-true,real,2,alfredo-gutierrez,democrat,"immigration,legal-issues",1.0,0.0,1.0,1
7425.json,The only time in our history when the debt has been higher than this was the end of World War II.,only time history when debt higher than end world war,mostly-true,real,2,david-cote,none,debt,1.0,0.0,1.0,0
10039.json,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,cost health care now single biggest factor driving down federal budget deficit,mostly-true,real,2,barack-obama,democrat,"deficit,federal-budget,health-care",0.6829,0.1691,473.0,1
2166.json,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",during recession consumer native perversity begun save savings rate now percent,true,real,2,george-will,columnist,"economy,abc-news-week",0.3636,0.3182,22.0,0
1978.json,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,whether supreme court nominee forthcoming confirmation hearings,false,fake,0,elena-kagan,democrat,"kagan-nomination,supreme-court",1.0,0.0,1.0,1
3005.json,Says one out of three U.S. homeless men is a veteran.,one out three homeless men veteran,barely-true,nuanced,1,texas-veterans-commission,none,"poverty,veterans",0.0,0.0,1.0,0
9165.json,Says Charlie Crist supports cuts to the Medicare Advantage program.,charlie crist supports cuts medicare advantage program,false,fake,0,republican-party-florida,republican,"health-care,medicare",0.375,0.3125,32.0,1
2109.json,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,think unacceptable chinese today larger wind power solar panels photovoltaic manufacturing than all europe put together forget united states,half-true,nuanced,1,maurice-ferre,democrat,energy,0.5,0.0,2.0,1
10053.json,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,scott brown sponsored legislation let employers deny women coverage birth control,true,real,2,jeanne-shaheen,democrat,"health-care,legal-issues,women",0.6667,0.0,9.0,1
9613.json,"At some point in their lives, 99% of women use birth control.",some point lives women use birth control,half-true,nuanced,1,susan-happ,democrat,sexuality,1.0,0.0,1.0,1
3146.json,"In the past 20 years, Egypt has made great strides in political and democratic reform.",past years egypt made great strides political democratic reform,false,fake,0,sameh-shoukry,none,"foreign-policy,abc-news-week",0.0,1.0,1.0,0
8755.json,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,amount attention paid week chris christie makes coverage benghazi pale significance,false,fake,0,karl-rove,republican,"terrorism,transportation",0.5882,0.2941,17.0,1
9989.json,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,rep steve southerland voted keep shutdown going,true,real,2,gwen-graham,democrat,federal-budget,1.0,0.0,1.0,1
2044.json,"In Rick Perrys Texas, we import nurses ... from other countries.",rick perrys texas import nurses other countries,half-true,nuanced,1,bill-white,democrat,health-care,0.6,0.3,20.0,1
11657.json,There is a federal criminal law that says its a crime to transport dentures across state lines.,there federal criminal law crime transport dentures across state lines,mostly-true,real,2,bob-goodlatte,republican,public-health,0.875,0.125,8.0,1
11131.json,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,built new prison every days between keep mass incarceration explosion nonviolent offenders,mostly-true,real,2,cory-booker,democrat,"crime,criminal-justice",0.7143,0.2857,14.0,1
767.json,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",sen mccain's tax plan provides virtually nothing middle class,barely-true,nuanced,1,joe-biden,democrat,taxes,0.5968,0.2258,62.0,1
10263.json,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,austin burdened fastest growing tax increases any major city nation,false,fake,0,jim-skaggs,none,"city-budget,city-government,taxes",0.0,1.0,1.0,0
1969.json,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",phoenix arizona kidnapping capital world,false,fake,0,john-mccain,republican,immigration,0.4658,0.3219,146.0,1
10386.json,I belong to the AFL-CIO.,belong afl cio,true,real,2,rick-perry,republican,"candidates-biography,labor",0.4545,0.3357,143.0,1
2020.json,The insurance commissioner cant do squat about health care.,insurance commissioner cant squat about health care,mostly-true,real,2,ralph-hudgens,republican,health-care,1.0,0.0,1.0,1
4264.json,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,poll found him only republican candidate who beat barack obama texas eight points,half-true,nuanced,1,mitt-romney,republican,polls,0.517,0.2898,176.0,1
6359.json,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.",president ronald reagan sent troops into conflict only one circumstance which grenada peacekeeping setting lebanon,barely-true,nuanced,1,mitt-romney,republican,"foreign-policy,history,military",0.517,0.2898,176.0,1
8931.json,Says David Jolly supports privatizing Social Security.,david jolly supports privatizing social security,barely-true,nuanced,1,florida-democratic-party,democrat,social-security,0.4286,0.3333,21.0,1
9213.json,Did you know US population growth is at its lowest since the Great Depression?,know population growth lowest since great depression,true,real,2,robert-sarvis,libertarian,"immigration,population",1.0,0.0,1.0,0
7599.json,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.",average student florida what actually pay out pocket major universities tuition much less than what spend cellphones,mostly-true,real,2,will-weatherford,republican,education,0.5833,0.25,12.0,1
7258.json,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",since more americans died gunfire than died all wars countrys history,true,real,2,mark-shields,none,guns,0.0,0.0,1.0,0
7128.json,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.,foreclosure tax take effect mean high tax bill those facing foreclosure millions families who modified mortgage short sale through lender,mostly-true,real,2,national-association-realtors,none,housing,1.0,0.0,1.0,0
5667.json,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,florida department agricultures website freshfromflorida com used get permit carry loaded hidden gun without ever leaving house,false,fake,0,brady-campaign-prevent-gun-violence,none,guns,0.0,0.5,2.0,0
4170.json,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.",atlanta streetcar expected create jobs during construction totaling more than jobs over next years,pants-fire,fake,0,federal-transit-administration,none,transportation,0.0,1.0,1.0,0
10072.json,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.",raising minimum wage hour help lift over million americans out poverty,mostly-true,real,2,alison-lundergan-grimes,democrat,"income,message-machine-2014,poverty",0.5,0.25,8.0,1
10624.json,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.",secretary state john kerry when senator flew managua met communist dictator there daniel ortega accused reagan administration engaging terrorism,mostly-true,real,2,mitch-mcconnell,republican,"foreign-policy,history,terrorism",0.48,0.24,25.0,1
13142.json,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",nato opening major terror division sure not going get credit largely because what saying criticism nato,false,fake,0,donald-trump,republican,"foreign-policy,military,terrorism",0.2699,0.5368,326.0,1
338.json,Sen. Obama has always had a 100 percent prochoice rating.,sen obama always percent prochoice rating,true,real,2,barack-obama,democrat,abortion,0.6829,0.1691,473.0,1
7848.json,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",since gina raimondo took office investment fees states pension portfolio gone about million annually about million,half-true,nuanced,1,frank-caprio,democrat,"candidates-biography,economy,pensions,retirement,state-finances,wealth,workers",1.0,0.0,4.0,1
2820.json,The (federal) debt is growing by more than $4 billion a day.,federal debt growing more than billion day,true,real,2,rick-perry,republican,"deficit,economy,federal-budget",0.4545,0.3357,143.0,1
4456.json,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",under president barack obamas jobs bill states longer lay off teachers firefighters police officers,half-true,nuanced,1,david-scott,democrat,jobs,1.0,0.0,3.0,1
7796.json,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",teachers who over those teachers today over years old,false,fake,0,terry-mcauliffe,democrat,"education,retirement",0.16,0.36,25.0,1
7467.json,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.,two thirds wisconsinites receiving unemployment checks not required search work due current work search exemptions,mostly-true,real,2,scott-walker,republican,"government-regulation,jobs,poverty,welfare",0.48,0.3467,150.0,1
8654.json,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",under president obamas health care reforms premium average plan family didnt down per year gone about per year,half-true,nuanced,1,ron-johnson,republican,"corporations,economy,health-care,public-health,workers",0.4878,0.1707,41.0,1
9492.json,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",irs also investigated liberal groups groups progressive name irs basically looking everybody,half-true,nuanced,1,donna-brazile,democrat,"elections,taxes",0.9167,0.0833,12.0,1
6895.json,Says Obama promised unemployment would never go above 8 percent.,obama promised unemployment never above percent,barely-true,nuanced,1,paul-ryan,republican,jobs,0.5263,0.1404,57.0,1
10423.json,The economy is creating jobs at the fastest pace since 1999.,economy creating jobs fastest pace since,true,real,2,barack-obama,democrat,"economy,jobs",0.6829,0.1691,473.0,1
6767.json,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.,president obama decided not meet prime minister benjamin netanyahu new york,mostly-true,real,2,adam-hasner,republican,"foreign-policy,israel,message-machine-2012",0.7273,0.0909,11.0,1
11043.json,"In a majority of states, you can now marry freely, but can still be fired for who you love.",majority states now marry freely still fired who love,mostly-true,real,2,mark-pocan,democrat,"civil-rights,gays-and-lesbians,states",0.625,0.25,8.0,1
4357.json,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.,say oregon reps peter defazio earl blumenauer socialists who openly serving congress,pants-fire,fake,0,blog-posting,none,candidates-biography,0.1026,0.8077,78.0,0
162.json,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency.""",rudy giuliani probably most underqualified man since george bush seek presidency,pants-fire,fake,0,joe-biden,democrat,job-accomplishments,0.5968,0.2258,62.0,1
10768.json,"About half of the presidents have been governors; half of them, senators.",about half presidents governors half senators,false,fake,0,ted-cruz,republican,"congress,corrections-and-updates,elections,history,states",0.3063,0.3694,111.0,1
12593.json,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.",after britains vote leave european union within hours americans lost billion,mostly-true,real,2,hillary-clinton,democrat,"economy,retirement",0.6561,0.1629,221.0,1
8164.json,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.",medicaid spending declined percent second such decline years,mostly-true,real,2,kathleen-sebelius,democrat,medicaid,0.6667,0.1667,6.0,1
6520.json,Says 88 Texas constables have died in the line of duty.,texas constables died line duty,true,real,2,bruce-elfant,democrat,"crime,criminal-justice,history,public-safety,public-service",1.0,0.0,1.0,1
9500.json,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.",gov rick scott cut cost prepaid college tuition nearly,mostly-true,real,2,republican-party-florida,republican,education,0.375,0.3125,32.0,1
4629.json,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.",city columbus save million year employees contribute own guaranteed check pensions,mostly-true,real,2,dave-yost,republican,"jobs,labor,unions",0.5,0.0,2.0,1
1593.json,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",florida's cfo shut down krakow's scam refunded more than million josephine other victims con man,true,real,2,alex-sink,democrat,job-accomplishments,0.6667,0.2222,9.0,1
10560.json,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.,more women getting computer sciences degrees factor plus than now,mostly-true,real,2,hillary-clinton,democrat,"education,technology,women",0.6561,0.1629,221.0,1
